#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 08 26 00 56 250  1.5   MM    MM    MM    MM  MM 1011.0  18.3    MM  16.1   MM   MM    MM
2013 08 25 23 56 250  2.1   MM    MM    MM    MM  MM 1010.7  19.4    MM  16.7   MM   MM    MM
2013 08 25 22 56 250  3.1   MM    MM    MM    MM  MM 1010.8  20.6    MM  17.8   MM   MM    MM
2013 08 25 21 56 240  2.1   MM    MM    MM    MM  MM 1010.6  21.7    MM  18.3   MM   MM    MM
2013 08 25 20 56 250  3.6   MM    MM    MM    MM  MM 1010.7  21.7    MM  17.8   MM   MM    MM
2013 08 25 19 56 250  3.1   MM    MM    MM    MM  MM 1011.0  21.7    MM  17.8   MM   MM    MM
2013 08 25 18 56 260  2.1   MM    MM    MM    MM  MM 1011.1  21.7    MM  17.8   MM   MM    MM
2013 08 25 17 56 240  3.1   MM    MM    MM    MM  MM 1011.2  20.6    MM  17.2   MM   MM    MM
2013 08 25 16 56 250  2.6   MM    MM    MM    MM  MM 1011.4  21.7    MM  18.3   MM   MM    MM
2013 08 25 15 56 250  2.1   MM    MM    MM    MM  MM 1011.6  20.0    MM  17.8   MM   MM    MM
2013 08 25 14 56  MM    0   MM    MM    MM    MM  MM 1011.0  17.8    MM  16.1   MM   MM    MM
2013 08 25 13 56 240  2.1   MM    MM    MM    MM  MM 1011.6  17.2    MM  16.1   MM   MM    MM
2013 08 25 12 56 240  1.5   MM    MM    MM    MM  MM 1011.7  17.2    MM  16.7   MM   MM    MM
2013 08 25 11 56  MM    0   MM    MM    MM    MM  MM 1011.6  18.9    MM  17.8   MM   MM    MM
2013 08 25 10 56  MM    0   MM    MM    MM    MM  MM 1011.2  18.9    MM  17.8   MM   MM    MM
2013 08 25 09 56  MM    0   MM    MM    MM    MM  MM 1010.9  18.3    MM  16.7   MM   MM    MM
2013 08 25 08 56 250  1.5   MM    MM    MM    MM  MM 1010.3  19.4    MM  17.2   MM   MM    MM
2013 08 25 07 56  MM    0   MM    MM    MM    MM  MM 1010.6  19.4    MM  17.2   MM   MM    MM
2013 08 25 06 56  MM    0   MM    MM    MM    MM  MM 1010.9  20.0    MM  17.8   MM   MM    MM
