#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 08 30 02 50 110  6.0  6.0   0.0    MM   3.4  MM 1010.2  16.7  16.0    MM   MM -2.1    MM
2013 08 30 01 50 100  3.0  4.0   0.0    MM   2.6  MM 1011.6  16.9  16.2    MM   MM -1.2    MM
2013 08 30 00 50  80  2.0  3.0   0.0    MM   2.5  MM 1012.0  17.0  16.3    MM   MM -2.3    MM
2013 08 29 23 50 130  4.0  4.0   0.0    MM   3.0  MM 1012.3  17.3  16.5    MM   MM -2.2    MM
2013 08 29 22 50 130  5.0  7.0   0.0    MM   2.7  MM 1012.8  17.8  17.1    MM   MM -1.4    MM
2013 08 29 21 50 140  3.0  3.0   0.0    MM   2.8  MM 1014.3  18.3  18.0    MM   MM -0.3    MM
2013 08 29 20 50 170  3.0  3.0   0.0    MM   2.7  MM 1014.5  18.3  18.2    MM   MM -0.5    MM
2013 08 29 19 50 140  3.0  4.0   0.1    MM   2.7  MM 1014.2  18.7  18.7    MM   MM -1.1    MM
2013 08 29 18 50  80  1.0  1.0    MM    MM    MM  MM 1014.6  20.2  18.5    MM   MM -1.4    MM
2013 08 29 17 50  MM  0.0  1.0   0.0    MM   2.5  MM 1015.0  19.5  18.6    MM   MM -0.7    MM
2013 08 29 16 50 230  1.0  2.0   0.1    MM   2.5  MM 1015.3  18.4  17.6    MM   MM -0.7    MM
2013 08 29 15 50 220  3.0  3.0   0.1    MM   2.5  MM 1016.0  17.8  17.0    MM   MM -0.0    MM
2013 08 29 14 50 220  2.0  2.0   0.1    MM   2.4  MM 1015.7  17.8  16.8    MM   MM -0.6    MM
2013 08 29 13 50 210  2.0  2.0   0.1    MM   2.6  MM 1016.0  17.1  16.3    MM   MM +0.0    MM
2013 08 29 12 50 200  2.0  2.0   0.1    MM   2.5  MM 1016.1  16.8  16.0    MM   MM +0.8    MM
2013 08 29 11 50 200  2.0  3.0   0.1    MM   2.4  MM 1016.3  16.7  16.0    MM   MM +1.2    MM
2013 08 29 10 50 190  2.0  3.0   0.1    MM   2.4  MM 1015.8  17.0  16.0    MM   MM +0.5    MM
2013 08 29 09 50 220  3.0  3.0   0.1    MM   2.4  MM 1015.3  17.7  16.0    MM   MM -0.3    MM
2013 08 29 08 50 210  4.0  4.0   0.1    MM   2.6  MM 1015.1  17.3  16.0    MM   MM -1.2    MM
2013 08 29 07 50 180  3.0  3.0   0.1    MM   2.7  MM 1015.3  16.8  15.9    MM   MM -0.6    MM
2013 08 29 06 50 210  4.0  4.0   0.1    MM   2.6  MM 1015.6  17.6  15.9    MM   MM -0.4    MM
2013 08 29 05 50 210  2.0  3.0   0.1    MM   2.7  MM 1016.3  16.8  16.0    MM   MM -0.0    MM
2013 08 29 04 50 180  3.0  4.0   0.1    MM   2.6  MM 1015.9  17.2  16.1    MM   MM +0.0    MM
2013 08 29 03 50 170  3.0  4.0   0.1    MM   2.7  MM 1016.0  17.2  16.3    MM   MM +0.0    MM
2013 08 29 02 50 200  3.0  3.0   0.1    MM   2.7  MM 1016.1  16.9  16.3    MM   MM +0.0    MM
2013 08 29 01 50 180  3.0  3.0   0.1    MM   2.7  MM 1016.1  16.9  16.6    MM   MM +0.0    MM
2013 08 29 00 50 180  2.0  3.0   0.1    MM   2.6  MM 1016.2  17.0  16.2    MM   MM +0.3    MM
2013 08 28 23 50 220  3.0  3.0   0.1    MM   2.8  MM 1015.9  17.3  16.2    MM   MM +0.0    MM
2013 08 28 22 50 210  2.0  2.0   0.1    MM   2.9  MM 1015.9  17.5  16.3    MM   MM -0.3    MM
2013 08 28 21 50 180  2.0  2.0   0.1    MM   3.1  MM 1015.9  18.0  16.8    MM   MM -0.8    MM
2013 08 28 20 50 190  2.0  2.0   0.1    MM   3.0  MM 1016.1  18.3  17.9    MM   MM -0.7    MM
2013 08 28 19 50 170  2.0  2.0   0.1    MM   3.0  MM 1016.2  18.5  17.9    MM   MM -0.5    MM
2013 08 28 18 50 170  1.0  1.0   0.1    MM   3.1  MM 1016.7  18.1  18.1    MM   MM +0.3    MM
2013 08 28 17 50  30  1.0  1.0   0.1    MM   3.4  MM 1016.8  17.1  16.6    MM   MM +0.6    MM
2013 08 28 16 50  20  1.0  2.0   0.0    MM   3.2  MM 1016.7  17.0  16.6    MM   MM +1.0    MM
2013 08 28 15 50  30  2.0  2.0   0.0    MM   2.8  MM 1016.4  16.8  15.7    MM   MM +1.2    MM
2013 08 28 14 50 350  2.0  2.0   0.0    MM   2.9  MM 1016.2  15.8  15.0    MM   MM +1.2    MM
2013 08 28 13 50 320  3.0  3.0   0.0    MM   3.0  MM 1015.7  15.4  14.8    MM   MM +1.2    MM
2013 08 28 12 50 260  2.0  2.0   0.0    MM   2.8  MM 1015.2  15.7  14.6    MM   MM +1.2    MM
2013 08 28 11 50 270  2.0  2.0   0.0    MM   2.8  MM 1015.0  15.5  14.6    MM   MM +1.3    MM
2013 08 28 10 50 240  2.0  3.0   0.1    MM   2.9  MM 1014.5  15.4  14.5    MM   MM +1.0    MM
2013 08 28 09 50 240  2.0  2.0   0.1    MM   2.9  MM 1014.0  15.1  14.5    MM   MM +0.6    MM
2013 08 28 08 50 230  2.0  2.0   0.1    MM   2.9  MM 1013.7  15.0  14.6    MM   MM +1.0    MM
2013 08 28 07 50 120  1.0  2.0   0.1    MM   2.9  MM 1013.5  16.1  14.6    MM   MM +1.2    MM
2013 08 28 06 50 360  2.0  3.0   0.1    MM   2.9  MM 1013.4  15.3  14.5    MM   MM +1.1    MM
2013 08 28 05 50 320  3.0  4.0   0.1    MM   2.8  MM 1012.7  15.0  14.4    MM   MM +0.4    MM
2013 08 28 04 50 310  4.0  5.0   0.1    MM   2.8  MM 1012.3  14.9  14.2    MM   MM -0.3    MM
2013 08 28 03 50 270  2.0  2.0   0.1    MM   2.8  MM 1012.3  14.6  14.4    MM   MM +0.3    MM
2013 08 28 02 50 200  2.0  3.0   0.1    MM   2.8  MM 1012.3  14.1  14.3    MM   MM +0.0    MM
2013 08 28 01 50 210  2.0  3.0   0.1    MM   2.7  MM 1012.6  14.2  14.5    MM   MM +0.6    MM
2013 08 28 00 50 230  1.0  2.0   0.1    MM   2.7  MM 1012.0  14.4  14.6    MM   MM +0.4    MM
2013 08 27 23 50 170  1.0  1.0   0.1    MM   2.7  MM 1012.1  14.6  14.7    MM   MM +0.7    MM
2013 08 27 22 50  40  1.0  2.0   0.1    MM   2.9  MM 1012.0  14.5  14.8    MM   MM +0.6    MM
2013 08 27 21 50  40  3.0  4.0   0.1    MM   2.6  MM 1011.6  14.3  14.8    MM   MM -0.0    MM
2013 08 27 20 50  40  3.0  3.0   0.1    MM   2.7  MM 1011.4  14.1  14.7    MM   MM -0.8    MM
2013 08 27 19 50  50  3.0  4.0   0.1    MM   2.5  MM 1011.4  14.1  14.6    MM   MM -1.1    MM
2013 08 27 18 50  70  4.0  4.0   0.1    MM   2.6  MM 1011.8  14.0  14.5    MM   MM -0.3    MM
2013 08 27 17 50  70  3.0  4.0   0.1    MM   2.6  MM 1012.2  14.0  14.4    MM   MM +0.4    MM
2013 08 27 16 50  70  4.0  5.0   0.1    MM   2.8  MM 1012.5  13.9  14.4    MM   MM +0.6    MM
2013 08 27 15 50  70  3.0  4.0   0.1    MM   2.7  MM 1012.1  13.9  14.2    MM   MM -0.0    MM
2013 08 27 14 50  50  4.0  5.0   0.1    MM   2.7  MM 1011.8  14.1  13.9    MM   MM +0.0    MM
2013 08 27 13 50  90  3.0  3.0   0.2    MM   2.6  MM 1011.9  14.1  13.7    MM   MM +0.0    MM
2013 08 27 12 50 120  3.0  4.0   0.2    MM   2.6  MM 1011.9  14.4  13.7    MM   MM +0.6    MM
2013 08 27 11 50 120  4.0  4.0   0.2    MM   2.6  MM 1011.6  14.4  13.6    MM   MM +0.4    MM
2013 08 27 10 50 120  5.0  6.0   0.3     3   2.6 127 1011.7  14.1  13.5    MM   MM +0.3    MM
2013 08 27 09 50 130  5.0  6.0   0.3     3   2.6 125 1011.3  14.2  13.5    MM   MM -0.6    MM
2013 08 27 08 50 140  6.0  7.0   0.3     3   2.6 108 1011.2  14.2  13.6    MM   MM -1.0    MM
2013 08 27 07 50 120  6.0  7.0   0.1    MM   3.1  MM 1011.4  14.1  14.4    MM   MM -1.3    MM
2013 08 27 06 50  80  5.0  6.0   0.1    MM   3.4  MM 1011.9  15.9  15.7    MM   MM -1.2    MM
2013 08 27 05 50  80  2.0  3.0   0.1    MM   3.3  MM 1012.2  16.3  15.7    MM   MM -1.6    MM
2013 08 27 04 50 140  2.0  2.0   0.1    MM   3.5  MM 1012.7  16.7  15.7    MM   MM -0.7    MM
2013 08 27 03 50 140  1.0  2.0   0.1    MM   3.5  MM 1013.1  16.7  15.8    MM   MM +0.6    MM
2013 08 27 02 50 140  1.0  2.0   0.2    MM   3.5  MM 1013.8  16.6  15.8    MM   MM +0.7    MM
2013 08 27 01 50 220  1.0  2.0   0.2    MM   3.6  MM 1013.4  16.9  15.9    MM   MM -0.0    MM
2013 08 27 00 50 180  1.0  1.0   0.2    MM   3.6  MM 1012.5  16.7  16.0    MM   MM -0.9    MM
2013 08 26 23 50 230  2.0  3.0   0.2    MM   3.6  MM 1013.1  16.6  16.0    MM   MM -0.7    MM
2013 08 26 22 50 200  2.0  3.0   0.2    MM   3.6  MM 1013.4  16.3  16.1    MM   MM -0.4    MM
2013 08 26 21 50 190  2.0  3.0   0.2    MM   3.6  MM 1013.4  16.3  16.1    MM   MM -0.8    MM
2013 08 26 20 50 200  3.0  3.0   0.3     5   3.5 226 1013.8  16.3  16.2    MM   MM -0.4    MM
2013 08 26 19 50 230  2.0  2.0   0.3     4   3.4 232 1013.8  16.5  16.0    MM   MM -0.6    MM
2013 08 26 18 50 280  2.0  2.0   0.3     4   3.4 223 1014.2  16.2  15.5    MM   MM -0.3    MM
2013 08 26 17 50 290  2.0  3.0   0.3     4   3.4 229 1014.2  15.7  14.7    MM   MM +0.3    MM
2013 08 26 16 50 280  2.0  3.0   0.4     4   3.5 246 1014.4  15.5  14.0    MM   MM +0.9    MM
2013 08 26 15 50 250  1.0  1.0   0.4     4   3.6 244 1014.5  15.3  14.1    MM   MM +0.9    MM
2013 08 26 14 50 300  2.0  2.0   0.4     5   3.7 232 1013.9  15.5  13.4    MM   MM +1.1    MM
2013 08 26 13 50 320  3.0  4.0   0.5     4   3.9 234 1013.5  15.3  13.3    MM   MM +1.1    MM
2013 08 26 12 50 310  3.0  3.0   0.3     4   3.3 239 1013.6  15.5  13.1    MM   MM +1.2    MM
2013 08 26 11 50 320  5.0  5.0   0.4     4   3.3 235 1012.8  15.3  13.1    MM   MM +0.7    MM
2013 08 26 10 50 290  5.0  5.0   0.4     4   3.3 230 1012.4  15.8  13.1    MM   MM +1.0    MM
2013 08 26 09 50 260  7.0  9.0   0.3     4   3.5 232 1012.4  18.1  13.1    MM   MM   MM    MM
2013 08 26 08 50 220  5.0  6.0   0.3     5   3.8 237 1012.1  16.1  13.1    MM   MM +0.9    MM
2013 08 26 07 50 210  2.0  3.0    MM    MM    MM  MM 1011.4  16.6  13.1    MM   MM +0.7    MM
2013 08 26 05 50 130  3.0  5.0   0.4     5   3.6 212 1011.2  14.9  13.1    MM   MM -0.3    MM
2013 08 26 04 50 320  3.0  4.0   0.5     5   3.8 238 1010.7  16.8  13.1    MM   MM -0.4    MM
2013 08 26 03 50 280  3.0  4.0   0.5     5   3.8 243 1011.4  16.0  13.1    MM   MM +0.4    MM
2013 08 26 02 50 240  5.0  5.0   0.5     5   3.8 239 1011.5  16.4  13.1    MM   MM +0.9    MM
2013 08 26 01 50 230  5.0  6.0   0.5     5   3.9 240 1011.1  16.8  13.2    MM   MM +0.3    MM
